asset_id,source,device_name,serial_number,last_check_in
INV-10012,LegacyCMDB,FIN-LT-0451,SN-7C2A91X,2026-06-01
MSI-20034,Intune,FIN-LT-0451,SN-7C2A91X,2026-08-30
INV-10088,LegacyCMDB,HR-DT-1120,SN-4B819F2,2025-11-15
MSI-20077,Intune,HR-DT-1120-NEW,SN-4B819F2,2026-08-25
INV-10145,LegacyCMDB,OPS-LT-3390,SN-99A2E71,2026-01-10
MSI-20101,Intune,OPS-LT-3390,SN-99A2E71,2026-08-01
INV-10201,LegacyCMDB,SALES-LT-2210,SN-11C4402,2025-09-01
MSI-20150,Intune,Sales_Lt_2210,SN-88Z9910,2026-07-20
INV-10233,LegacyCMDB,IT-DT-0099,SN-55X0012,2025-12-05
MSI-20199,Intune,IT DT 0099,SN-71Y4483,2026-06-11
INV-10300,LegacyCMDB,MKT-LT-4471,SN-33P8820,2025-10-02
MSI-20255,Intune,MKT-LT-4472,SN-60R2201,2026-05-14
INV-10321,LegacyCMDB,ENG-LT-5502,SN-14Q7761,2026-02-18
MSI-20288,Intune,ENG-LT-550,SN-82S3390,2026-08-10
INV-10400,LegacyCMDB,WH-DT-6001,SN-20T5540,2025-08-20
MSI-20340,Intune,WH-DT-6001,SN-20T5540,2026-07-01
INV-10455,LegacyCMDB,WH-DT-6001-OLD,SN-20T5540,2024-05-01
INV-10501,LegacyCMDB,LEGAL-LT-0110,SN-A1B2C3D,2026-04-12
MSI-20410,Intune,EXEC-LT-9002,SN-F4E5D6C,2026-08-15
INV-10520,LegacyCMDB,QA-DT-3345,SN-B7C8D9E,2026-03-22
MSI-20430,Intune,DEV-LT-7781,SN-C1D2E3F,2026-08-05
INV-10545,LegacyCMDB,SUP-DT-2290,SN-D4E5F6A,2025-07-30
MSI-20450,Intune,ADMIN-LT-1050,SN-E7F8A9B,2026-06-19
INV-10560,LegacyCMDB,FAC-DT-0087,SN-F1A2B3C,2026-01-28
MSI-20470,Intune,FIN-LT-0899,SN-A4B5C6D,2026-08-22
INV-10580,LegacyCMDB,HR-LT-2201,SN-B1C2D3E,2025-12-30
MSI-20490,Intune,OPS-DT-4471,SN-C7D8E9F,2026-07-11
INV-10600,LegacyCMDB,SALES-DT-3320,SN-D1E2F3A,2026-05-02
MSI-20510,Intune,IT-LT-0021,SN-E4F5A6B,2026-08-28
INV-10620,LegacyCMDB,MKT-DT-1199,SN-F7A8B9C,2026-02-09
MSI-20530,Intune,ENG-DT-6650,SN-A1D2E3F,2026-08-18
INV-10640,LegacyCMDB,WH-LT-8802,SN-B4E5F6A,2025-09-14
MSI-20550,Intune,LEGAL-DT-0450,SN-C1F2A3B,2026-06-27
INV-10660,LegacyCMDB,EXEC-DT-1001,SN-D7A8B9C,2026-03-05
MSI-20570,Intune,QA-LT-2290,SN-E1B2C3D,2026-08-12
INV-10680,LegacyCMDB,DEV-DT-4410,SN-F4C5D6E,2025-11-01
MSI-20590,Intune,SUP-LT-3301,SN-A7D8E9F,2026-07-24
INV-10700,LegacyCMDB,ADMIN-DT-0210,SN-B1F2A3C,2026-04-30
MSI-20610,Intune,FAC-LT-5502,SN-C4A5B6D,2026-08-19
INV-10720,LegacyCMDB,FIN-DT-2244,SN-D7E8F9A,2026-01-16
MSI-20630,Intune,HR-DT-0033,SN-E1C2D3F,2026-08-03
